Driver Model,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
BOP Balance," 64,000,000 ",,,,,,,,,,,
Internal Sales," 12,500,000 "," 8,000,000 "," 9,000,000 "," 10,000,000 "," 10,000,000 "," 9,000,000 "," 8,000,000 "," 9,000,000 "," 10,000,000 "," 10,000,000 "," 15,000,000 "," 20,000,000 "
External Sales," 2,500,000 "," 1,600,000 "," 1,800,000 "," 2,000,000 "," 2,000,000 "," 1,800,000 "," 1,600,000 "," 1,800,000 "," 2,000,000 "," 2,000,000 "," 3,000,000 "," 4,000,000 "
Payments," 23,000,000 "," 15,000,000 "," 9,600,000 "," 10,800,000 "," 12,000,000 "," 12,000,000 "," 10,800,000 "," 9,600,000 "," 10,800,000 "," 12,000,000 "," 12,000,000 "," 18,000,000 "
Other Fees," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "," 1,000,000 "
Floating APR Rate, 0.60 , 0.60 , 0.60 , 0.60 , 0.60 , 0.60 , 0.60 , 0.60 , 0.60 , 0.60 , 0.60 , 0.60 
Fixed APR Rate, 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 , 0.05 
Promo APR Rate, 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 , 0.25 
BOP Accounts," 200,000 ",,,,,,,,,,,
New Accounts," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "
Closed Accounts, 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 , 800 
Active Accounts," 100,100 "," 100,200 "," 100,300 "," 100,400 "," 100,500 "," 100,600 "," 100,700 "," 100,800 "," 100,900 "," 101,000 "," 101,100 "," 101,200 "
Applications," 2,273 "," 2,273 "," 2,273 "," 2,273 "," 2,273 "," 2,273 "," 2,273 "," 2,273 "," 2,273 "," 2,273 "," 2,273 "," 2,273 "
